"Site","Endday","Upgrade","SQLBackup","Archiving",
"257",0,0,0,0,
"303",0,0,0,0,
"304",0,1,0,0,
"307",0,0,0,0,
"310",0,0,0,0,
"312",0,1,0,0,
"313",0,0,0,0,
"316",0,0,0,0,
"319",0,0,0,0,
"329",0,0,0,0,
"339",0,1,0,0,
"346",0,0,0,0,
"354",0,1,0,0,
"376",0,1,0,1,
"386",0,0,0,0,
"502",0,0,0,0,
"516",0,0,0,0,
"517",0,0,0,0,
"524",0,0,0,0,
"540",0,0,0,0,
"546",0,0,0,0,
"550",0,0,0,0,
"561",0,0,0,0,
"569",0,0,0,0,
"570",0,0,0,0,
"573",0,1,0,0,
"578",0,0,0,1,
"581",0,0,1,0,
"586",0,0,0,1,
"593",0,0,1,0,
"604",0,0,0,0,
"607",0,0,0,0,
"625",0,0,0,0,
"629",0,0,0,0,
"630",0,0,0,0,
"635",0,0,0,0,
"636",0,1,0,0,
"638",0,0,0,1,
"639",0,0,0,0,
"640",0,0,0,0,
"645",0,0,0,0,
"649",0,0,0,0,
"652",0,0,0,0,
"653",0,0,0,0,
"654",0,0,0,0,
"657",0,0,0,0,
"658",0,0,0,0,
"659",0,0,0,0,
"660",0,0,0,0,
"814",0,0,0,0,
"820",0,1,0,0,
"826",0,0,0,0,
"831",0,0,0,0,
"837",0,0,0,0,
"850",0,0,0,0,
"858",0,0,0,0,
"863",0,0,0,0,
"865",0,0,0,0,
"874",0,0,0,0,
"888",0,0,0,0,
"902",0,1,0,0,
"903",0,0,0,0,
"905",0,0,0,0,
"910",0,0,0,0,
"919",0,0,0,0,
"926",0,0,0,0,
"928",0,0,0,0,
"933",0,0,0,0,
"934",0,0,0,0,
"936",0,0,1,0,
"937",0,1,0,0,
"938",0,0,0,0,
"939",0,0,0,0,
"948",0,0,0,0,
"950",0,0,0,0,
"970",0,0,0,0,
"973",0,0,0,0,
"978",0,0,0,0,
"985",0,0,0,0,
